colour,word,congruent,corrAns,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,response.keys,response.corr,response.rt,thank.keys,thank.rt,date,frameRate,expName,session,participant
red,red,1,r,0,0,0,0,r,1,0.4413299561,,,2018+AF8-feb+AF8-10+AF8-1731,436.906666667,stroop,1,cristian
red,blue,0,r,0,1,1,1,r,1,1.3733670712,,,2018+AF8-feb+AF8-10+AF8-1731,436.906666667,stroop,1,cristian
green,blue,0,g,0,2,2,2,g,1,1.5141260624,,,2018+AF8-feb+AF8-10+AF8-1731,436.906666667,stroop,1,cristian
green,green,1,g,0,3,3,3,g,1,1.8096621037,,,2018+AF8-feb+AF8-10+AF8-1731,436.906666667,stroop,1,cristian
yellow,red,0,y,0,4,4,4,y,1,1.173593998,,,2018+AF8-feb+AF8-10+AF8-1731,436.906666667,stroop,1,cristian
green,red,0,g,0,5,5,5,g,1,1.0137000084,,,2018+AF8-feb+AF8-10+AF8-1731,436.906666667,stroop,1,cristian
blue,yellow,0,b,0,6,6,6,b,1,1.3973789215,,,2018+AF8-feb+AF8-10+AF8-1731,436.906666667,stroop,1,cristian
red,green,0,r,0,7,7,7,r,1,1.4940810204,,,2018+AF8-feb+AF8-10+AF8-1731,436.906666667,stroop,1,cristian
blue,red,0,b,0,8,8,8,b,1,1.2348351479,,,2018+AF8-feb+AF8-10+AF8-1731,436.906666667,stroop,1,cristian
yellow,yellow,1,y,0,9,9,9,y,1,0.5068628788,,,2018+AF8-feb+AF8-10+AF8-1731,436.906666667,stroop,1,cristian
red,yellow,0,r,0,10,10,10,r,1,1.2832820416,,,2018+AF8-feb+AF8-10+AF8-1731,436.906666667,stroop,1,cristian
yellow,green,0,y,0,11,11,11,y,1,1.3371090889,,,2018+AF8-feb+AF8-10+AF8-1731,436.906666667,stroop,1,cristian
blue,blue,1,b,0,12,12,12,b,1,0.7380230427,,,2018+AF8-feb+AF8-10+AF8-1731,436.906666667,stroop,1,cristian
green,yellow,0,g,0,13,13,13,g,1,1.1162958145,,,2018+AF8-feb+AF8-10+AF8-1731,436.906666667,stroop,1,cristian
blue,green,0,b,0,14,14,14,b,1,1.5258610249,,,2018+AF8-feb+AF8-10+AF8-1731,436.906666667,stroop,1,cristian
yellow,blue,0,y,0,15,15,15,y,1,0.8701639175,,,2018+AF8-feb+AF8-10+AF8-1731,436.906666667,stroop,1,cristian
,,,,,,,,,,,return,1.1106500626,2018+AF8-feb+AF8-10+AF8-1731,436.906666667,stroop,1,cristian
red,red,1,r,0,0,0,0,r,1,0.4936099052,,,2018+AF8-feb+AF8-10+AF8-1729,470.878595325,stroop,1,ela
red,blue,0,r,0,1,1,1,r,1,2.0321340561,,,2018+AF8-feb+AF8-10+AF8-1729,470.878595325,stroop,1,ela
green,blue,0,g,0,2,2,2,g,1,1.6955938339,,,2018+AF8-feb+AF8-10+AF8-1729,470.878595325,stroop,1,ela
green,green,1,g,0,3,3,3,g,1,0.953690052,,,2018+AF8-feb+AF8-10+AF8-1729,470.878595325,stroop,1,ela
yellow,red,0,y,0,4,4,4,y,1,1.7682790756,,,2018+AF8-feb+AF8-10+AF8-1729,470.878595325,stroop,1,ela
green,red,0,g,0,5,5,5,g,1,1.3841938973,,,2018+AF8-feb+AF8-10+AF8-1729,470.878595325,stroop,1,ela
blue,yellow,0,b,0,6,6,6,b,1,1.9802777767,,,2018+AF8-feb+AF8-10+AF8-1729,470.878595325,stroop,1,ela
red,green,0,r,0,7,7,7,r,1,1.62332201,,,2018+AF8-feb+AF8-10+AF8-1729,470.878595325,stroop,1,ela
blue,red,0,b,0,8,8,8,b,1,1.7097549439,,,2018+AF8-feb+AF8-10+AF8-1729,470.878595325,stroop,1,ela
yellow,yellow,1,y,0,9,9,9,y,1,0.6990778446,,,2018+AF8-feb+AF8-10+AF8-1729,470.878595325,stroop,1,ela
red,yellow,0,r,0,10,10,10,r,1,1.2120389938,,,2018+AF8-feb+AF8-10+AF8-1729,470.878595325,stroop,1,ela
yellow,green,0,y,0,11,11,11,y,1,1.425287962,,,2018+AF8-feb+AF8-10+AF8-1729,470.878595325,stroop,1,ela
blue,blue,1,b,0,12,12,12,b,1,0.8091800213,,,2018+AF8-feb+AF8-10+AF8-1729,470.878595325,stroop,1,ela
green,yellow,0,g,0,13,13,13,g,1,1.8292489052,,,2018+AF8-feb+AF8-10+AF8-1729,470.878595325,stroop,1,ela
blue,green,0,b,0,14,14,14,b,1,1.6031389237,,,2018+AF8-feb+AF8-10+AF8-1729,470.878595325,stroop,1,ela
yellow,blue,0,y,0,15,15,15,y,1,1.900988102,,,2018+AF8-feb+AF8-10+AF8-1729,470.878595325,stroop,1,ela
,,,,,,,,,,,b,1.4507629871,2018+AF8-feb+AF8-10+AF8-1729,470.878595325,stroop,1,ela
red,red,1,r,0,0,0,0,r,1,1.2844150066,,,2018+AF8-feb+AF8-10+AF8-1729,464.146249696,stroop,1,matilde
red,blue,0,r,0,1,1,1,r,1,2.1337749958,,,2018+AF8-feb+AF8-10+AF8-1729,464.146249696,stroop,1,matilde
green,blue,0,g,0,2,2,2,g,1,1.6182730198,,,2018+AF8-feb+AF8-10+AF8-1729,464.146249696,stroop,1,matilde
green,green,1,g,0,3,3,3,g,1,1.1006519795,,,2018+AF8-feb+AF8-10+AF8-1729,464.146249696,stroop,1,matilde
yellow,red,0,y,0,4,4,4,y,1,1.4297878742,,,2018+AF8-feb+AF8-10+AF8-1729,464.146249696,stroop,1,matilde
green,red,0,g,0,5,5,5,g,1,1.4216570854,,,2018+AF8-feb+AF8-10+AF8-1729,464.146249696,stroop,1,matilde
blue,yellow,0,b,0,6,6,6,b,1,1.2457551956,,,2018+AF8-feb+AF8-10+AF8-1729,464.146249696,stroop,1,matilde
red,green,0,r,0,7,7,7,r,1,1.1504430771,,,2018+AF8-feb+AF8-10+AF8-1729,464.146249696,stroop,1,matilde
blue,red,0,b,0,8,8,8,b,1,1.5262491703,,,2018+AF8-feb+AF8-10+AF8-1729,464.146249696,stroop,1,matilde
yellow,yellow,1,y,0,9,9,9,y,1,0.8649561405,,,2018+AF8-feb+AF8-10+AF8-1729,464.146249696,stroop,1,matilde
red,yellow,0,r,0,10,10,10,r,1,1.0048270226,,,2018+AF8-feb+AF8-10+AF8-1729,464.146249696,stroop,1,matilde
yellow,green,0,y,0,11,11,11,y,1,1.2902929783,,,2018+AF8-feb+AF8-10+AF8-1729,464.146249696,stroop,1,matilde
blue,blue,1,b,0,12,12,12,b,1,1.3523948193,,,2018+AF8-feb+AF8-10+AF8-1729,464.146249696,stroop,1,matilde
green,yellow,0,g,0,13,13,13,g,1,1.3323090076,,,2018+AF8-feb+AF8-10+AF8-1729,464.146249696,stroop,1,matilde
blue,green,0,b,0,14,14,14,b,1,1.2245240212,,,2018+AF8-feb+AF8-10+AF8-1729,464.146249696,stroop,1,matilde
yellow,blue,0,y,0,15,15,15,y,1,1.0951309204,,,2018+AF8-feb+AF8-10+AF8-1729,464.146249696,stroop,1,matilde
,,,,,,,,,,,b,1.1366090775,2018+AF8-feb+AF8-10+AF8-1729,464.146249696,stroop,1,matilde
red,red,1,r,0,0,0,0,r,1,0.8605570793,,,2018+AF8-feb+AF8-10+AF8-1732,457.144850136,stroop,1,rocco
red,blue,0,r,0,1,1,1,r,1,1.9034490585,,,2018+AF8-feb+AF8-10+AF8-1732,457.144850136,stroop,1,rocco
green,blue,0,g,0,2,2,2,g,1,1.611620903,,,2018+AF8-feb+AF8-10+AF8-1732,457.144850136,stroop,1,rocco
green,green,1,g,0,3,3,3,g,1,0.5793249607,,,2018+AF8-feb+AF8-10+AF8-1732,457.144850136,stroop,1,rocco
yellow,red,0,y,0,4,4,4,y,1,1.6615982056,,,2018+AF8-feb+AF8-10+AF8-1732,457.144850136,stroop,1,rocco
green,red,0,g,0,5,5,5,g,1,1.1611859798,,,2018+AF8-feb+AF8-10+AF8-1732,457.144850136,stroop,1,rocco
blue,yellow,0,b,0,6,6,6,b,1,1.5601608753,,,2018+AF8-feb+AF8-10+AF8-1732,457.144850136,stroop,1,rocco
red,green,0,r,0,7,7,7,r,1,1.3327000141,,,2018+AF8-feb+AF8-10+AF8-1732,457.144850136,stroop,1,rocco
blue,red,0,b,0,8,8,8,b,1,0.6893429756,,,2018+AF8-feb+AF8-10+AF8-1732,457.144850136,stroop,1,rocco
yellow,yellow,1,y,0,9,9,9,y,1,1.6170070171,,,2018+AF8-feb+AF8-10+AF8-1732,457.144850136,stroop,1,rocco
